ICBC_APP_LOG_ERROR: 80.16.161.85 WAPDB process resource usage high now 98%,3
ICBC_APP_LOG_ERROR: 10.255.65.6 DG_MPDB_LOG ASM usage is high now 85%,3
ICBC_APP_LOG_ERROR: 10.255.65.6 DG_MPDB_LOG ASM usage is high now 85.1%,3
ICBC_APP_LOG_ERROR: 10.251.65.7 DG_MPDB_LOG ASM usage is high now 85%,3
ICBC_APP_LOG_ATTENTION: WAPDB no avaliable online log group,4
ICBC_OraLogAD_CRS: CRS-5818:Aborted command check for resource ora.oc4j.,2
ICBC_OraLogAD_CRS: CRS-5818:Aborted command check for resource ora.LISTENER.lsnr.,2
ICBC_APP_LOG_ERROR: script sessionchild.sh corpnew1 run time > 2,0
ICBC_APP_LOG_ERROR: script tempchild.sh corpnew1 run time > 5,0
ICBC_OraLogAD_CRS: CRS-5818:Aborted command check for resource ora.drivers.acfs.,2
ICBC_APP_LOG_ERROR: script /oradata/jkjc/bin/zhubeitongbu/orastandchild.sh 80.56.145.15 run time > 3,0
ICBC_APP_LOG_ERROR: script tablespacechild.sh corpnew2 run time > 6,0
ICBC_APP_LOG_ERROR: script tablespacechild.sh corpnew1 run time > 6,0
ICBC_OraLogAD_CRS: CRS-5818:Aborted command check for resource ora.net1.network.,2
ICBC_APP_LOG_ERROR: script undochild.sh corpnew1_80.56.145.15 run error,0
ICBC_APP_LOG_ERROR: script sessionchild.sh corpnew1_80.56.145.15 run error,0
ICBC_APP_LOG_ERROR: script asm_space_child.sh ASM1_80.56.145.15 run error,0
ICBC_APP_LOG_ERROR: script pgachild.sh corpnew1_80.56.145.15 run error,0
ICBC_APP_LOG_ERROR: script asm_sharepool_child.sh ASM1_80.56.145.15 run error,0
ICBC_APP_LOG_ERROR: script dict_cache_child.sh corpnew1_80.56.145.15 run error,0
ICBC_APP_LOG_ERROR: script freechild.sh corpnew1_80.56.145.15 run error,0
ICBC_APP_LOG_ERROR: script buf_cache_child.sh corpnew1_80.56.145.15 run error,0
ICBC_APP_LOG_ERROR: script lib_cache_child.sh corpnew1_80.56.145.15 run error,0
ICBC_APP_LOG_ERROR: script archivechild.sh corpnew1_80.56.145.15 run error,0
ICBC_APP_LOG_ERROR: 80.56.145.15 has been restart,1
ICBC_APP_LOG_ERROR: script sessionchild.sh logdb_80.16.145.102 run error,0
ICBC_APP_LOG_ERROR: script sessionchild.sh persondb_80.16.145.126 run error,0
ICBC_APP_LOG_ERROR: script sessionchild.sh logdb_80.16.145.125 run error,0
ICBC_APP_LOG_ERROR: script sessionchild.sh persondb_80.16.145.49 run error,0
ICBC_APP_LOG_ATTENTION: 80.7.19.19 omr12c database now share pool size 1504M free size 98M,2
ICBC_APP_LOG_ATTENTION: WAPDB no avaliable online log group,4
ICBC_APP_LOG_ERROR: 80.16.161.185 DG_ABIBCORM_DAT ASM usage is high now 80%,3
ICBC_APP_LOG_ERROR: script sessionchild.sh srpt_85.0.33.28 run error,0
ICBC_APP_LOG_ERROR: script undochild.sh srpt_85.0.33.28 run error,0
ICBC_APP_LOG_ERROR: script dict_cache_child.sh srpt_85.0.33.28 run error,0
ICBC_APP_LOG_ERROR: script freechild.sh srpt_85.0.33.28 run error,0
ICBC_APP_LOG_ERROR: script lib_cache_child.sh srpt_85.0.33.28 run error,0
ICBC_APP_LOG_ERROR: script buf_cache_child.sh srpt_85.0.33.28 run error,0
ICBC_APP_LOG_ERROR: script pgachild.sh srpt_85.0.33.28 run error,0
ICBC_APP_LOG_ATTENTION: 80.7.83.39 monitor database now share pool size 278M free size 31M,2
ICBC_APP_LOG_ATTENTION: NETCOOL no avaliable online log group,4
ICBC_APP_LOG_ATTENTION: 80.24.241.5 orc1 database now share pool size 808M free size 70M,2
ICBC_OraLogAD_CRS: CRS-5818:Aborted command check for resource ora.asm.,2
ICBC_OraLogAD_CRS: CRS-5818:Aborted command check for resource ora.LISTENER.lsnr.,2
ICBC_APP_LOG_ATTENTION: nportalc no avaliable online log group,4
ICBC_APP_LOG_ERROR: 10.240.98.96 has been restart,1
ICBC_APP_LOG_ATTENTION: WAPDB no avaliable online log group,4
ICBC_APP_LOG_ATTENTION: WAPDB no avaliable online log group,4
ICBC_APP_LOG_ATTENTION: 80.25.30.47 dsmdbebk database now share pool size 352M free size 37M,2
ICBC_APP_LOG_ERROR: script sessionchild.sh omsdb run time > 2,0
ICBC_APP_LOG_ERROR: script tablespacechild.sh omsdb run time > 6,0
ICBC_APP_LOG_ERROR: script tempchild.sh omsdb run time > 5,0
ICBC_APP_LOG_ERROR: script pgachild.sh omsdb run time > 3,0
ICBC_APP_LOG_ERROR: script freechild.sh omsdb_80.29.46.32 run time > 5,0
ICBC_APP_LOG_ERROR: script dict_cache_child.sh omsdb run time > 5,0
ICBC_APP_LOG_ERROR: script lib_cache_child.sh omsdb run time > 5,0
ICBC_APP_LOG_ERROR: script buf_cache_child.sh omsdb run time > 5,0
ICBC_APP_LOG_ERROR: script lib_cache_child.sh run time > 5,0
